YR,MON,NINO1+2,ANOM,NINO3,ANOM,NINO4,ANOM,NINO3.4,ANOM
2019,1,25.4,0.83,26.26,0.6,29.08,0.76,27.19,0.65
2019,2,26.62,0.52,26.99,0.59,28.91,0.71,27.46,0.71
2019,3,26.61,0.12,27.84,0.64,28.96,0.64,28.09,0.81
2019,4,25.83,0.3,28.13,0.55,29.15,0.52,28.44,0.62
2019,5,24.61,0.2,27.75,0.5,29.45,0.54,28.48,0.55
2019,6,22.78,-0.34,26.82,0.2,29.58,0.61,28.18,0.45
2019,7,21.27,-0.69,25.7,-0.1,29.66,0.76,27.64,0.35
2019,8,20.24,-0.76,24.79,-0.32,29.44,0.65,26.9,0.04
2019,9,20.01,-0.71,24.63,-0.27,29.34,0.58,26.75,0.03
2019,10,20.27,-0.74,25.14,0.16,29.51,0.75,27.2,0.48
2019,11,21.55,-0.11,25.43,0.33,29.46,0.76,27.22,0.52
2019,12,22.77,-0.04,25.47,0.24,29.41,0.87,27.12,0.52
2020,1,24.2,-0.37,25.88,0.22,29.17,0.85,27.15,0.6
2020,2,26.12,0.02,26.51,0.1,28.97,0.78,27.12,0.37
2020,3,26.43,-0.06,27.41,0.2,29.07,0.75,27.76,0.48
2020,4,25.81,0.28,27.86,0.27,29.15,0.52,28.18,0.36
2020,5,24.28,-0.14,26.92,-0.33,29.01,0.09,27.66,-0.27
2020,6,22.43,-0.7,25.93,-0.69,29.09,0.12,27.39,-0.34
2020,7,20.68,-1.28,25.22,-0.59,28.89,-0.01,26.99,-0.3
2020,8,19.96,-1.05,24.5,-0.61,28.47,-0.31,26.26,-0.59
2020,9,19.5,-1.22,23.91,-0.99,28.21,-0.55,25.89,-0.83
2020,10,20.42,-0.6,23.88,-1.1,27.96,-0.8,25.46,-1.26
2020,11,21.07,-0.58,23.9,-1.21,27.8,-0.9,25.28,-1.42
2020,12,22.21,-0.6,24.41,-0.82,27.54,-1,25.44,-1.15
2021,1,23.68,-0.88,25.04,-0.62,27.27,-1.05,25.55,-1
2021,2,25.24,-0.86,25.68,-0.73,27.24,-0.96,25.75,-1
2021,3,25.74,-0.75,26.52,-0.69,27.67,-0.65,26.48,-0.8
2021,4,24.59,-0.94,26.79,-0.79,28.2,-0.43,27.1,-0.72
2021,5,23.63,-0.79,26.69,-0.56,28.71,-0.21,27.47,-0.46
2021,6,22.75,-0.37,26.3,-0.32,28.83,-0.14,27.45,-0.28
2021,7,21.75,-0.21,25.49,-0.32,28.67,-0.23,26.9,-0.39
2021,8,20.71,-0.29,24.66,-0.45,28.5,-0.28,26.32,-0.53
2021,9,20.02,-0.7,24.47,-0.43,28.22,-0.54,26.17,-0.55
2021,10,20.15,-0.87,24.2,-0.78,28.03,-0.73,25.77,-0.94
2021,11,20.53,-1.12,24.07,-1.03,28.02,-0.68,25.76,-0.94
2021,12,21.12,-1.69,23.96,-1.27,27.8,-0.74,25.54,-1.06
2022,1,23.46,-1.11,24.35,-1.31,27.95,-0.37,25.6,-0.94
2022,2,24.52,-1.58,25.26,-1.14,27.83,-0.37,25.86,-0.89
2022,3,25.73,-0.76,26.47,-0.73,27.63,-0.69,26.31,-0.97
2022,4,24.14,-1.4,26.66,-0.92,27.8,-0.83,26.7,-1.11
2022,5,22.76,-1.66,26.2,-1.05,28.12,-0.8,26.82,-1.11
2022,6,21.63,-1.49,25.81,-0.81,28.27,-0.7,26.98,-0.75
2022,7,20.76,-1.2,25.28,-0.53,27.92,-0.98,26.6,-0.69
2022,8,20.41,-0.6,24.44,-0.67,27.7,-1.09,25.88,-0.97
2022,9,19.71,-1.02,23.94,-0.96,27.59,-1.17,25.65,-1.07
2022,10,19.23,-1.78,23.88,-1.11,27.64,-1.12,25.73,-0.99
2022,11,20.52,-1.13,24.16,-0.94,27.71,-0.99,25.8,-0.9
2022,12,22.35,-0.46,24.41,-0.82,27.7,-0.84,25.75,-0.85
2023,1,24,-0.56,25.1,-0.56,27.66,-0.66,25.83,-0.72
2023,2,26.58,0.48,26.31,-0.1,27.65,-0.55,26.29,-0.46
